team,experience
Algeria,3
Angola,0
Argentina,17
Australia,5
Austria,6
Belgium,13
Bolivia,2
Bosnia-Herzegovina,0
Brazil,21
Bulgaria,6
Cameroon,7
Canada,1
Chile,8
China,0
Colombia,5
Costa Rica,5
Croatia,5
Cuba,0
Czechia,0
Czechoslovakia,7
Denmark,5
Dutch East Indies,0
Ecuador,3
Egypt,2
El Salvador,1
England,15
FR Yugoslavia,0
France,15
Germany,10
Germany DR,0
Ghana,3
Greece,2
Haiti,0
Honduras,2
Hungary,8
Iceland,0
Iran,5
Iraq,0
Israel,0
Italy,17
Ivory Coast,2
Jamaica,0
Japan,6
Kuwait,0
Mexico,16
Morocco,5
Netherlands,10
New Zealand,1
Nigeria,5
North Korea,1
Northern Ireland,2
Norway,2
Panama,0
Paraguay,7
Peru,4
Poland,8
Portugal,7
Qatar,0
Republic of Ireland,2
Romania,6
Russia,3
Saudi Arabia,5
Scotland,7
Senegal,2
Serbia,2
Serbia and Montenegro,0
Slovakia,0
Slovenia,1
South Africa,2
South Korea,10
Soviet Union,6
Spain,15
Sweden,11
Switzerland,11
Togo,0
Trinidad & Tobago,0
Tunisia,5
Turkey,1
Ukraine,0
United Arab Emirates,0
United States,10
Uruguay,13
Wales,1
West Germany,8
Yugoslavia,7
Zaire,0
